icp_number,meter_serial_number,channel_number,started_at,ended_at,value,unit_code,status
0005171784RN098,208229290,1,09/02/2018 00:00,09/02/2018 00:29,0.449,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 00:30,09/02/2018 00:59,0.196,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 01:00,09/02/2018 01:29,0.195,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 01:30,09/02/2018 01:59,0.194,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 02:00,09/02/2018 02:29,0.194,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 02:30,09/02/2018 02:59,0.194,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 03:00,09/02/2018 03:29,0.195,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 03:30,09/02/2018 03:59,0.195,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 04:00,09/02/2018 04:29,0.195,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 04:30,09/02/2018 04:59,0.194,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 05:00,09/02/2018 05:29,0.194,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 05:30,09/02/2018 05:59,0.194,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 06:00,09/02/2018 06:29,0.195,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 06:30,09/02/2018 06:59,0.196,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 07:00,09/02/2018 07:29,0.194,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 07:30,09/02/2018 07:59,1.005,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 08:00,09/02/2018 08:29,0.315,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 08:30,09/02/2018 08:59,0.195,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 09:00,09/02/2018 09:29,0.194,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 09:30,09/02/2018 09:59,0.185,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 10:00,09/02/2018 10:29,0.118,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 10:30,09/02/2018 10:59,0.118,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 11:00,09/02/2018 11:29,0.118,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 11:30,09/02/2018 11:59,0.119,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 12:00,09/02/2018 12:29,0.132,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 12:30,09/02/2018 12:59,0.224,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 13:00,09/02/2018 13:29,0.216,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 13:30,09/02/2018 13:59,0.192,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 14:00,09/02/2018 14:29,0.189,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 14:30,09/02/2018 14:59,0.543,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 15:00,09/02/2018 15:29,0.563,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 15:30,09/02/2018 15:59,0.507,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 16:00,09/02/2018 16:29,1.077,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 16:30,09/02/2018 16:59,0.338,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 17:00,09/02/2018 17:29,0.472,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 17:30,09/02/2018 17:59,0.126,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 18:00,09/02/2018 18:29,0.152,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 18:30,09/02/2018 18:59,0.434,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 19:00,09/02/2018 19:29,1.131,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 19:30,09/02/2018 19:59,0.218,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 20:00,09/02/2018 20:29,0.204,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 20:30,09/02/2018 20:59,0.493,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 21:00,09/02/2018 21:29,0.455,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 21:30,09/02/2018 21:59,0.259,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 22:00,09/02/2018 22:29,0.177,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 22:30,09/02/2018 22:59,0.206,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 23:00,09/02/2018 23:29,0.734,kWh,estimated
0005171784RN098,208229290,1,09/02/2018 23:30,09/02/2018 23:59,1.130,kWh,estimated
0005171784RN098,208229290,1,10/02/2018 00:00,10/02/2018 00:29,0.686,kWh,validated
0005171784RN098,208229290,1,10/02/2018 00:30,10/02/2018 00:59,0.161,kWh,validated
0005171784RN098,208229290,1,10/02/2018 01:00,10/02/2018 01:29,0.146,kWh,validated
0005171784RN098,208229290,1,10/02/2018 01:30,10/02/2018 01:59,0.157,kWh,validated
0005171784RN098,208229290,1,10/02/2018 02:00,10/02/2018 02:29,0.502,kWh,validated
0005171784RN098,208229290,1,10/02/2018 02:30,10/02/2018 02:59,0.089,kWh,validated
0005171784RN098,208229290,1,10/02/2018 03:00,10/02/2018 03:29,0.126,kWh,validated
0005171784RN098,208229290,1,10/02/2018 03:30,10/02/2018 03:59,0.140,kWh,validated
0005171784RN098,208229290,1,10/02/2018 04:00,10/02/2018 04:29,0.111,kWh,validated
0005171784RN098,208229290,1,10/02/2018 04:30,10/02/2018 04:59,0.181,kWh,validated
0005171784RN098,208229290,1,10/02/2018 05:00,10/02/2018 05:29,0.367,kWh,validated
0005171784RN098,208229290,1,10/02/2018 05:30,10/02/2018 05:59,0.447,kWh,validated
0005171784RN098,208229290,1,10/02/2018 06:00,10/02/2018 06:29,0.109,kWh,validated
0005171784RN098,208229290,1,10/02/2018 06:30,10/02/2018 06:59,0.088,kWh,validated
0005171784RN098,208229290,1,10/02/2018 07:00,10/02/2018 07:29,0.128,kWh,validated
0005171784RN098,208229290,1,10/02/2018 07:30,10/02/2018 07:59,0.149,kWh,validated
0005171784RN098,208229290,1,10/02/2018 08:00,10/02/2018 08:29,0.082,kWh,validated
0005171784RN098,208229290,1,10/02/2018 08:30,10/02/2018 08:59,0.107,kWh,validated
0005171784RN098,208229290,1,10/02/2018 09:00,10/02/2018 09:29,0.157,kWh,validated
0005171784RN098,208229290,1,10/02/2018 09:30,10/02/2018 09:59,0.975,kWh,validated
0005171784RN098,208229290,1,10/02/2018 10:00,10/02/2018 10:29,0.199,kWh,validated
0005171784RN098,208229290,1,10/02/2018 10:30,10/02/2018 10:59,0.202,kWh,validated
0005171784RN098,208229290,1,10/02/2018 11:00,10/02/2018 11:29,0.226,kWh,validated
0005171784RN098,208229290,1,10/02/2018 11:30,10/02/2018 11:59,0.739,kWh,validated
0005171784RN098,208229290,1,10/02/2018 12:00,10/02/2018 12:29,1.092,kWh,validated
0005171784RN098,208229290,1,10/02/2018 12:30,10/02/2018 12:59,0.127,kWh,validated
0005171784RN098,208229290,1,10/02/2018 13:00,10/02/2018 13:29,0.137,kWh,validated
0005171784RN098,208229290,1,10/02/2018 13:30,10/02/2018 13:59,0.135,kWh,validated
0005171784RN098,208229290,1,10/02/2018 14:00,10/02/2018 14:29,0.527,kWh,validated
0005171784RN098,208229290,1,10/02/2018 14:30,10/02/2018 14:59,0.605,kWh,validated
0005171784RN098,208229290,1,10/02/2018 15:00,10/02/2018 15:29,1.143,kWh,validated
0005171784RN098,208229290,1,10/02/2018 15:30,10/02/2018 15:59,0.565,kWh,validated
0005171784RN098,208229290,1,10/02/2018 16:00,10/02/2018 16:29,0.302,kWh,validated
0005171784RN098,208229290,1,10/02/2018 16:30,10/02/2018 16:59,1.126,kWh,validated
0005171784RN098,208229290,1,10/02/2018 17:00,10/02/2018 17:29,1.920,kWh,validated
0005171784RN098,208229290,1,10/02/2018 17:30,10/02/2018 17:59,1.229,kWh,validated
0005171784RN098,208229290,1,10/02/2018 18:00,10/02/2018 18:29,1.201,kWh,validated
0005171784RN098,208229290,1,10/02/2018 18:30,10/02/2018 18:59,1.150,kWh,validated
0005171784RN098,208229290,1,10/02/2018 19:00,10/02/2018 19:29,1.126,kWh,validated
0005171784RN098,208229290,1,10/02/2018 19:30,10/02/2018 19:59,1.088,kWh,validated
0005171784RN098,208229290,1,10/02/2018 20:00,10/02/2018 20:29,0.233,kWh,validated
0005171784RN098,208229290,1,10/02/2018 20:30,10/02/2018 20:59,0.173,kWh,validated
0005171784RN098,208229290,1,10/02/2018 21:00,10/02/2018 21:29,0.144,kWh,validated
0005171784RN098,208229290,1,10/02/2018 21:30,10/02/2018 21:59,0.169,kWh,validated
0005171784RN098,208229290,1,10/02/2018 22:00,10/02/2018 22:29,0.150,kWh,validated
0005171784RN098,208229290,1,10/02/2018 22:30,10/02/2018 22:59,0.089,kWh,validated
