icp_number,meter_serial_number,channel_number,started_at,ended_at,value,unit_code,status
0005045312RN131,208211246,1,21/12/2020 00:00,21/12/2020 00:29,0.148,kWh,validated
0005045312RN131,208211246,1,21/12/2020 00:30,21/12/2020 00:59,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 01:00,21/12/2020 01:29,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 01:30,21/12/2020 01:59,0.161,kWh,validated
0005045312RN131,208211246,1,21/12/2020 02:00,21/12/2020 02:29,0.006,kWh,validated
0005045312RN131,208211246,1,21/12/2020 02:30,21/12/2020 02:59,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 03:00,21/12/2020 03:29,0.108,kWh,validated
0005045312RN131,208211246,1,21/12/2020 03:30,21/12/2020 03:59,0.052,kWh,validated
0005045312RN131,208211246,1,21/12/2020 04:00,21/12/2020 04:29,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 04:30,21/12/2020 04:59,0.118,kWh,validated
0005045312RN131,208211246,1,21/12/2020 05:00,21/12/2020 05:29,0.039,kWh,validated
0005045312RN131,208211246,1,21/12/2020 05:30,21/12/2020 05:59,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 06:00,21/12/2020 06:29,0.150,kWh,validated
0005045312RN131,208211246,1,21/12/2020 06:30,21/12/2020 06:59,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 07:00,21/12/2020 07:29,0.006,kWh,validated
0005045312RN131,208211246,1,21/12/2020 07:30,21/12/2020 07:59,0.156,kWh,validated
0005045312RN131,208211246,1,21/12/2020 08:00,21/12/2020 08:29,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 08:30,21/12/2020 08:59,0.128,kWh,validated
0005045312RN131,208211246,1,21/12/2020 09:00,21/12/2020 09:29,0.768,kWh,validated
0005045312RN131,208211246,1,21/12/2020 09:30,21/12/2020 09:59,0.689,kWh,validated
0005045312RN131,208211246,1,21/12/2020 10:00,21/12/2020 10:29,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 10:30,21/12/2020 10:59,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 11:00,21/12/2020 11:29,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 11:30,21/12/2020 11:59,0.006,kWh,validated
0005045312RN131,208211246,1,21/12/2020 12:00,21/12/2020 12:29,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 12:30,21/12/2020 12:59,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 13:00,21/12/2020 13:29,0.006,kWh,validated
0005045312RN131,208211246,1,21/12/2020 13:30,21/12/2020 13:59,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 14:00,21/12/2020 14:29,0.135,kWh,validated
0005045312RN131,208211246,1,21/12/2020 14:30,21/12/2020 14:59,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 15:00,21/12/2020 15:29,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 15:30,21/12/2020 15:59,0.006,kWh,validated
0005045312RN131,208211246,1,21/12/2020 16:00,21/12/2020 16:29,0.142,kWh,validated
0005045312RN131,208211246,1,21/12/2020 16:30,21/12/2020 16:59,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 17:00,21/12/2020 17:29,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 17:30,21/12/2020 17:59,0.082,kWh,validated
0005045312RN131,208211246,1,21/12/2020 18:00,21/12/2020 18:29,0.457,kWh,validated
0005045312RN131,208211246,1,21/12/2020 18:30,21/12/2020 18:59,0.255,kWh,validated
0005045312RN131,208211246,1,21/12/2020 19:00,21/12/2020 19:29,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 19:30,21/12/2020 19:59,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 20:00,21/12/2020 20:29,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 20:30,21/12/2020 20:59,0.006,kWh,validated
0005045312RN131,208211246,1,21/12/2020 21:00,21/12/2020 21:29,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 21:30,21/12/2020 21:59,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 22:00,21/12/2020 22:29,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 22:30,21/12/2020 22:59,0.150,kWh,validated
0005045312RN131,208211246,1,21/12/2020 23:00,21/12/2020 23:29,0.007,kWh,validated
0005045312RN131,208211246,1,21/12/2020 23:30,21/12/2020 23:59,0.006,kWh,validated
0005045312RN131,208211246,1,22/12/2020 00:00,22/12/2020 00:29,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 00:30,22/12/2020 00:59,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 01:00,22/12/2020 01:29,0.187,kWh,validated
0005045312RN131,208211246,1,22/12/2020 01:30,22/12/2020 01:59,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 02:00,22/12/2020 02:29,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 02:30,22/12/2020 02:59,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 03:00,22/12/2020 03:29,0.006,kWh,validated
0005045312RN131,208211246,1,22/12/2020 03:30,22/12/2020 03:59,0.147,kWh,validated
0005045312RN131,208211246,1,22/12/2020 04:00,22/12/2020 04:29,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 04:30,22/12/2020 04:59,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 05:00,22/12/2020 05:29,0.006,kWh,validated
