icp_number,meter_serial_number,channel_number,started_at,ended_at,value,unit_code,status
0006510507RN299,6AF08L013890,1,01/07/2017 00:00,01/07/2017 00:29,0.600,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 00:30,01/07/2017 00:59,0.300,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 01:00,01/07/2017 01:29,0.400,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 01:30,01/07/2017 01:59,0.300,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 02:00,01/07/2017 02:29,0.200,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 02:30,01/07/2017 02:59,0.500,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 03:00,01/07/2017 03:29,0.700,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 03:30,01/07/2017 03:59,1.500,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 04:00,01/07/2017 04:29,0.800,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 04:30,01/07/2017 04:59,0.300,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 05:00,01/07/2017 05:29,0.100,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 05:30,01/07/2017 05:59,0.200,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 06:00,01/07/2017 06:29,0.200,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 06:30,01/07/2017 06:59,1.100,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 07:00,01/07/2017 07:29,1.400,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 07:30,01/07/2017 07:59,0.400,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 08:00,01/07/2017 08:29,0.200,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 08:30,01/07/2017 08:59,0.600,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 09:00,01/07/2017 09:29,0.200,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 09:30,01/07/2017 09:59,0.200,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 10:00,01/07/2017 10:29,0.700,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 10:30,01/07/2017 10:59,0.200,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 11:00,01/07/2017 11:29,0.200,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 11:30,01/07/2017 11:59,1.200,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 12:00,01/07/2017 12:29,1.200,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 12:30,01/07/2017 12:59,1.100,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 13:00,01/07/2017 13:29,0.700,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 13:30,01/07/2017 13:59,1.000,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 14:00,01/07/2017 14:29,0.800,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 14:30,01/07/2017 14:59,1.100,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 15:00,01/07/2017 15:29,0.900,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 15:30,01/07/2017 15:59,2.400,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 16:00,01/07/2017 16:29,2.800,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 16:30,01/07/2017 16:59,2.300,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 17:00,01/07/2017 17:29,2.000,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 17:30,01/07/2017 17:59,1.300,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 18:00,01/07/2017 18:29,0.600,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 18:30,01/07/2017 18:59,0.700,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 19:00,01/07/2017 19:29,1.200,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 19:30,01/07/2017 19:59,1.200,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 20:00,01/07/2017 20:29,0.900,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 20:30,01/07/2017 20:59,0.600,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 21:00,01/07/2017 21:29,0.700,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 21:30,01/07/2017 21:59,0.400,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 22:00,01/07/2017 22:29,0.400,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 22:30,01/07/2017 22:59,0.500,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 23:00,01/07/2017 23:29,0.200,kWh,validated
0006510507RN299,6AF08L013890,1,01/07/2017 23:30,01/07/2017 23:59,0.600,kWh,validated
0006510507RN299,6AF08L013890,1,02/07/2017 00:00,02/07/2017 00:29,0.700,kWh,validated
0006510507RN299,6AF08L013890,1,02/07/2017 00:30,02/07/2017 00:59,1.300,kWh,validated
0006510507RN299,6AF08L013890,1,02/07/2017 01:00,02/07/2017 01:29,1.200,kWh,validated
0006510507RN299,6AF08L013890,1,02/07/2017 01:30,02/07/2017 01:59,1.200,kWh,validated
0006510507RN299,6AF08L013890,1,02/07/2017 02:00,02/07/2017 02:29,1.300,kWh,validated
0006510507RN299,6AF08L013890,1,02/07/2017 02:30,02/07/2017 02:59,1.000,kWh,validated
0006510507RN299,6AF08L013890,1,02/07/2017 03:00,02/07/2017 03:29,0.300,kWh,validated
0006510507RN299,6AF08L013890,1,02/07/2017 03:30,02/07/2017 03:59,0.300,kWh,validated
